name,count
容祖儿,68
余景天,68
徐璐,68
侯佩岑,68
白举纲,68
陈建斌,67
利路修,67
车银优,67
何洛洛,67
赵小棠,67
赵又廷,67
蒋敦豪,67
伍佰,66
周星驰,66
杨笠,66
余承恩,66
李冰冰,66
郑秀晶,65
林峯,65
齐思钧,65
罗晋,65
尹正,65
何洁,65
吴彦祖,64
杨蓉,64
常华森,64
金世佳,64
董思成,64
陈小纭,64
大张伟,64
陶昕然,63
何广智,63
王凯,63
蒋依依,63
刘芸,62
赖冠霖,62
吴尊,62
高瀚宇,62
刘敏涛,62
阮经天,62
黄宗泽,62
侯雯元,62
江疏影,62
林依轮,62
陈坤,61
吴奇隆,61
赵奕欢,61
乌尔善,60
沈小婷,60
张极,60
李亚鹏,60
杨紫琼,59
黄子弘凡,59
林墨,59
彭于晏,59
张云雷,59
郭俊辰,59
郑合惠子,59
萧亚轩,59
胡一天,59
庄达菲,58
宋小宝,58
黄旭熙,58
韩东君,58
袁弘,58
田柾国,57
潘粤明,57
庞博,57
朱媛媛,57
金子涵,57
刘惜君,57
言承旭,57
张颜齐,57
何浩楠,56
黄仁俊,56
李嘉格,56
刘忻,56
井胧,56
郑钧,56
郑业成,56
刘亚仁,56
马柏全,55
李惠利,55
宋仲基,55
林允儿,55
李明德,55
曹骏,55
宣璐,55
张歆艺,55
鲁豫,55
郭富城,55
孙艺珍,54
金珉奎,54
李钟硕,54
姜妍,54
徐克,54
欧豪,54
宫崎骏,54
蔡国庆,54
冯绍峰,54
郑晓龙,54
张译,53
叶童,53
刘维,53
颖儿,53
范玮琪,53
徐海乔,52
刘雅瑟,52
刘恋,52
伯远,52
张学友,52
许佳琪,52
炎亚纶,52
李汶翰,51
贾冰,51
杨千嬅,51
袁姗姗,51
吴克群,51
徐娇,50
张国荣,50
郭帆,50
汪东城,50
张小婉,50
费启鸣,50
海清,50
殷桃,50
王耀庆,49
靳东,49
王影璐,49
蒋奇明,49
赵文卓,49
张淼怡,48
沙溢,48
林依晨,48
古天乐,47
吴青峰,47
巩俐,47
刘美含,47
郎朗,47
谢楠,47
柳岩,46
郑乃馨,46
鲍蕾,46
李艺彤,46
刘端端,46
方大同,46
林彦俊,46
王晶,46
杨坤,45
黄子佼,45
李佳航,45
胡军,45
陈学冬,45
刘谦,44
陈凯歌,44
